Buy Date,Ticker,Buy Strat,Last Alert Date,Stop Loss,Buy Price,Target,Call,Status,CMP,Quantity,Hit Type,Sell Price,Sell Date
10/9/2024,VAISHALI.NS,EW_DC,10/9/2024,174.2,194.52,0,Long,Open,20.45000076,49,,,
10/9/2024,VALIANT.BO,EW_BW,10/9/2024,554.25,634.36,0,Long,Open,690,12,,,
10/9/2024,VEERENRGY.BO,EW_DC,10/9/2024,21.02,23.21,0,Long,Open,23.61000061,457,,,
10/9/2024,VENTURA.BO,EWLR_DC,10/9/2024,13.13,13.71,0,Long,Open,14.44999981,1724,,,
10/9/2024,VENUSREM.NS,EW_DC,10/9/2024,313.75,333.81,0,Long,Open,344.6499939,50,,,
10/9/2024,VIPULLTD.NS,EW_UC,10/9/2024,32.86,35.77,0,Long,Open,36.25,344,,,
10/9/2024,VISHWARAJ.NS,EW_BW,10/9/2024,15.75,18.9,0,Long,Open,17.55999947,317,,,
10/9/2024,VISIONCINE.BO,BB_DC,10/1/2024,1.15,1.06,0,Long,Open,1.139999986,-11111,,,
10/9/2024,WAGEND.BO,EWBB_DC,10/9/2024,1.1,1.29,0,Long,Open,1.320000052,5263,,,
10/9/2024,WEIZMANIND.NS,ATR_BW,10/8/2024,121,117.49,0,Long,Open,141.3999939,-285,,,
10/9/2024,WEWIN.NS,EW_DC,10/9/2024,65.87,70.7,0,Long,Open,73.40000153,207,,,
10/9/2024,XCHANGING.NS,ATREW_DC,10/9/2024,108,116.06,0,Long,Open,117.6500015,124,,,
10/9/2024,XELPMOC.NS,ATR_UC,10/8/2024,102.95,114.16,0,Long,Open,141.9900055,89,,,
10/9/2024,YAARI.NS,EW_DC,10/9/2024,10.55,11.22,0,Long,Open,13.81000042,1493,,,
10/9/2024,YASHMGM.BO,EW_DC,10/9/2024,13.15,14.08,0,Long,Open,14.69999981,1075,,,
10/9/2024,YUKEN.BO,EW_DC,10/9/2024,1105,1158.19,0,Long,Open,1200.199951,19,,,
10/9/2024,ZDHJERK.BO,ATR_BW,10/8/2024,19.45,19.33,0,Long,Open,20,-8333,,,
10/9/2024,ZEELEARN.NS,BB_UC,10/8/2024,8.2,8.77,0,Long,Open,10.06000042,1754,,,
10/9/2024,ZENTEC.NS,ATRBB_DC,10/8/2024,1576,1609.79,0,Long,Open,1888.900024,30,,,
10/9/2024,ZODJRDMKJ.BO,EWBB_DC,10/9/2024,77.16,86.55,0,Long,Open,97.33999634,106,,,
10/9/2024,ZOTA.NS,BB_DC,9/20/2024,440.1,637.72,0,Long,Open,619,5,,,
