Ticker,Last Alert Date_x,Buy Price_x,Target_x,Call_x,Status_x,Buy Date,Buy Strat,Last Alert Date_y,ll,Buy Price_y,Target_y,Call_y,Status_y,CMP,CMP_Date,Quantity,Hit Type,Sell Price,Broker
DHANUKA.NS,2024-10-28,1390.66,,Long,Open,2024-10-31,BB_DC,2024-10-28,1343.25,1390.66,,Long,Open,1571.4,2024-11-01,21.092596498628943,,,India
DIVSHKT.BO,2024-10-30,70.45,,Long,Open,2024-10-31,BB_DC,2024-10-30,66.11,70.45,,Long,Open,73.36,2024-11-01,230.41474654377865,,,India
DLINKINDIA.NS,2024-10-30,524.7,,Long,Open,2024-10-31,LR_DC,2024-10-30,492.8,524.7,,Long,Open,553.55,2024-11-01,31.347962382445107,,,India
DUCON.NS,2024-10-31,7.84,,Long,Open,2024-10-31,EW_DC,2024-10-31,7.16,7.84,,Long,Open,8.12,2024-11-01,1470.5882352941182,,,India
DYNAMATECH.NS,2024-10-31,7206.86,,Long,Open,2024-10-31,ATREW_BW,2024-10-31,6785.1,7206.86,,Long,Open,7521.15,2024-11-01,2.3710166919575157,,,India
E2E.NS,2024-10-25,3321.93,,Long,Open,2024-10-31,BB_UC,2024-10-25,3250.05,3321.93,,Long,Open,4299.85,2024-11-01,13.912075681691777,,,India
ECOBOAR.BO,2024-10-29,27.96,,Long,Open,2024-10-31,BB_DC,2024-10-29,27.32,27.96,,Long,Open,31.03,2024-11-01,1562.4999999999986,,,India
EIDPARRY.NS,2024-10-30,777.49,,Long,Open,2024-10-31,LR_BW,2024-10-30,741.3,777.49,,Long,Open,806.55,2024-11-01,27.631942525559506,,,India
EIFFL.NS,2024-10-31,200.91,,Long,Open,2024-10-31,EW_UC,2024-10-31,192.12,200.91,,Long,Open,207.84,2024-11-01,113.7656427758818,,,India
EKAMLEA.BO,2024-10-31,8.01,,Long,Open,2024-10-31,EW_UC,2024-10-31,7.0,8.01,,Long,Open,8.56,2024-11-01,990.0990099009904,,,India
ELANTAS.BO,2024-10-23,12381.46,,Long,Open,2024-10-31,BB_W,2024-10-23,12125.95,12381.46,,Long,Open,13649.3,2024-11-01,3.9137411451606834,,,India
ELGIEQUIP.NS,2024-10-30,596.85,,Long,Open,2024-10-31,ATRBB_DC,2024-10-30,588.05,596.85,,Long,Open,662.55,2024-11-01,113.63636363636276,,,India
ELPROINTL.BO,2024-10-31,102.22,,Long,Open,2024-10-31,ATREW_W,2024-10-31,98.15,102.22,,Long,Open,113.7,2024-11-01,245.7002457002461,,,India
