"Buy_DATE","Sell_Day","Call","Entry_Criteria","Stock","Buy_Qty","Buy_Price","Sell_Qty","Sell_Price","Stop_Loss","Target_Price","Duration"
"2024-01-19","2024-01-25",NULL,"EW_DC","ESSARSHPNG","48","31.00","48","32.00","10.00","32.00",21
"2024-01-19","2024-02-08",NULL,"ATR/PR/EW_UC","GICRE","4","356.00","4","452.00","128.00","452.00",21
"2024-01-19","2024-02-07",NULL,"ATR/EW_W","KAKATCEM","45","248.00","45","256.00","226.00","256.00",21
"2024-01-19","2024-02-02",NULL,"EW_UC","SAKUMA","133","22.00","133","27.00","15.00","27.00",21
"2024-01-19","2024-01-23",NULL,"EW_UC","SSWL","52","276.00","52","287.00","257.00","287.00",21
"2024-01-20","2024-02-07",NULL,"D_EW","63MOONS","24","434.00","24","480.00","392.00","480.00",20
"2024-01-20","2024-02-07",NULL,"D_EW","HISARMETAL","77","199.00","77","213.00","186.00","213.00",20
"2024-01-20","2024-02-02",NULL,"D_EW","RESPONIND","42","321.00","42","297.00","297.00","312.00",20
"2024-01-24","2024-02-08",NULL,"D_EW","BIRLACABLE","83","275.00","83","329.00","263.00","329.00",16
"2024-01-24","2024-02-07",NULL,"D_EW","BOMDYEING","36","169.00","36","192.00","141.00","192.00",16
"2024-01-24","2024-02-05",NULL,"D_EW","CENTUM","6","1503.00","6","1747.00","1341.00","1747.00",16
"2024-01-24","2024-02-07",NULL,"D_EW","HISARMETAL","126","194.00","126","213.00","186.00","213.00",16
"2024-01-24","2024-02-06",NULL,"D_EW","HPL","9","288.00","9","343.00","179.00","343.00",16
"2024-01-24","2024-02-08",NULL,"D_EW","KILITCH","4","400.00","4","466.00","175.00","466.00",16
"2024-01-24","2024-02-07",NULL,"D_EW","LTFOODS","71","204.00","71","190.00","190.00",NULL,16
"2024-01-24","2024-02-08",NULL,"D_EW","MAHASTEEL","26","109.00","26","142.00","70.00","142.00",16
"2024-01-24","2024-02-06",NULL,"D_EW","MHRIL","18","402.00","18","441.00","348.00","441.00",16
"2024-01-24","2024-02-06",NULL,"D_EW","PNC","40","54.00","40","64.00","29.00","64.00",16
"2024-01-24","2024-02-08",NULL,"D_EW","RECLTD","5","468.00","5","519.00","259.00","519.00",16
"2024-01-24","2024-02-06",NULL,"D_EW","SAIL","30","115.00","30","143.00","82.00","143.00",16
"2024-01-24","2024-02-08",NULL,"D_EW","SJVN","20","113.00","20","158.00","63.00","158.00",16
"2024-01-24","2024-02-06",NULL,"D_EW","STCINDIA","16","173.00","16","194.00","109.00","194.00",16
"2024-01-25","2024-02-05",NULL,"D_EW","ASHIANA","8","313.00","8","336.00","195.00","336.00",15
"2024-01-25","2024-02-08",NULL,"D_EW","BFUTILITIE","31","590.00","31","794.00","557.00","794.00",15
"2024-01-25","2024-02-07",NULL,"D_EW","BRIGADE","2","975.00","2","1094.00","565.00","1094.00",15
"2024-01-25","2024-02-07",NULL,"D_EW","CENTRUM","154","34.00","154","40.00","28.00","40.00",15
"2024-01-25","2024-02-08",NULL,"D_EW","CHENNPETRO","2","800.00","2","970.00","348.00","970.00",15
"2024-01-25","2024-02-01",NULL,"D_EW","GAEL","37","368.00","37","400.00","341.00","400.00",15
"2024-01-25","2024-02-07",NULL,"D_EW","KECL","65","123.00","65","159.00","108.00","159.00",15
"2024-01-25","2024-02-07",NULL,"D_EW","NOCIL","63","270.00","63","277.00","254.00","277.00",15
"2024-01-25","2024-01-31",NULL,"D_EW","PNCINFRA","10","415.00","10","455.00","310.00","455.00",15
"2024-01-25","2024-02-07",NULL,"D_EW","PROZONER","148","38.00","148","44.00","31.00","44.00",15
"2024-01-25","2024-02-07",NULL,"D_EW","RENUKA","263","47.00","263","53.00","43.00","53.00",15
"2024-01-29","2024-02-07",NULL,"D_EW","BANARBEADS","73","104.00","73","118.00","90.00","118.00",11
"2024-01-29","2024-02-07",NULL,"D_EW","EIHAHOTELS","4","655.00","4","789.00","414.00","789.00",11
"2024-01-29","2024-02-07",NULL,"D_EW","GENUSPOWER","20","263.00","20","335.00","214.00","335.00",11
"2024-01-29","2024-02-06",NULL,"D_EW","HATHWAY","143","24.00","143","27.00","17.00","27.00",11
"2024-01-29","2024-02-06",NULL,"D_EW","HINDPETRO","5","452.00","5","532.00","239.00","532.00",11
"2024-01-29","2024-02-02",NULL,"D_EW","JUBLPHARMA","4","577.00","4","605.00","319.00","605.00",11
