Ticker,Last Alert Date,Buy Price,Target,Call,Status
BAJAJST.BO,2024-10-09,,3420.76,Short,Close
BAJFINANCE.NS,2024-09-26,,7731.44,Short,Close
BALAJITELE.NS,2024-08-27,,71.76,Short,Close
BALAMINES.NS,2024-10-01,,2351.75,Short,Close
BALAXI.NS,2024-09-17,,113.74,Short,Close
BALKRISHNA.NS,2024-10-11,24.69,,Long,Open
BALKRISIND.NS,2024-10-08,2842.74,,Long,Open
BALMLAWRIE.NS,2024-10-18,,257.21,Short,Close
BALPHARMA.NS,2024-10-15,,135.0,Short,Close
BALRAMCHIN.NS,2024-10-15,,667.7,Short,Close
BALTE.BO,2024-10-15,,39.41,Short,Close
BALUFORGE.BO,2024-10-18,,839.19,Short,Close
BAMBINO.BO,2024-09-10,,437.61,Short,Close
BANARBEADS.NS,2024-10-18,,150.05,Short,Close
BANARISUG.NS,2024-10-15,,3887.75,Short,Close
BANASFN.BO,2024-10-01,,10.7,Short,Close
BANCOINDIA.NS,2024-10-15,,736.96,Short,Close
BANDHANBNK.NS,2024-10-11,,208.46,Short,Close
BANG.NS,2024-10-15,,58.12,Short,Close
BANKA.NS,2024-10-18,131.42,,Long,Open
BANKBARODA.NS,2024-10-04,,252.86,Short,Close
BANKBEES.BO,2024-09-26,,557.23,Short,Close
BANKINDIA.NS,2024-08-22,,120.82,Short,Close
BANSWRAS.NS,2024-10-08,133.77,,Long,Open
BAPACK.BO,2024-10-14,,461.3,Short,Close
BARBEQUE.BO,2024-10-14,,696.42,Short,Close
BAROEXT.BO,2024-10-04,,14.28,Short,Close
BASANTGL.BO,2024-09-24,,22.1,Short,Close
BASF.NS,2024-10-15,8214.92,,Long,Open
BASML.NS,2024-09-10,,67.6,Short,Close
BATAINDIA.NS,2024-10-22,,1427.98,Short,Close
BATLIBOI.BO,2024-10-04,,183.76,Short,Close
BAYERCROP.BO,2024-09-26,6239.34,,Long,Open
BAYERCROP.NS,2024-08-21,6291.4,,Long,Open
BBL.NS,2024-10-16,,5034.0,Short,Close
BBOX.NS,2024-10-18,,496.01,Short,Close
BBTC.NS,2024-10-21,,2870.75,Short,Close
BBTCL.NS,2024-10-14,,242.59,Short,Close
BCCFUBA.BO,2024-10-11,,101.17,Short,Close
BCG.NS,2024-10-04,,9.95,Short,Close
BCLENTERPR.BO,2024-09-10,0.97,,Short,Close
BCLIND.NS,2024-10-11,,57.81,Short,Close
BCONCEPTS.NS,2024-09-05,,724.31,Short,Close
BCP.BO,2024-10-09,,5.37,Short,Close
BDH.BO,2024-10-07,,332.63,Short,Close
BDL.NS,2024-10-11,,1222.5,Short,Close
BEARDSELL.NS,2024-10-09,,49.52,Short,Close
BECTORFOOD.NS,2024-10-14,,1909.05,Short,Close
BEDMUTHA.NS,2024-10-18,,239.1,Short,Close
BEEKAY.BO,2024-09-23,,750.36,Short,Close
BEL.NS,2024-10-15,,288.53,Short,Close
BELLACASA.BO,2024-10-17,,552.6,Short,Close
BEMHY.BO,2024-10-15,,1413.03,Short,Close
BEML.NS,2024-10-21,,4120.61,Short,Close
BENARAS.BO,2024-10-21,,8883.78,Short,Close
BENGALASM.BO,2024-10-09,9128.79,,Long,Open
BENGALT.BO,2024-10-04,,218.2,Short,Close
BEPL.NS,2024-10-16,,159.63,Short,Close
BERGEPAINT.NS,2024-09-16,,624.64,Short,Close
BERLDRG.BO,2024-10-08,42.1,,Long,Open
BERVINL.BO,2024-10-17,,65.01,Short,Close
BERYLSE.BO,2024-10-16,,35.88,Short,Close
BESTAGRO.BO,2024-10-18,,624.48,Short,Close
BESTEAST.BO,2024-09-06,,19.06,Short,Close
BETXIND.BO,2024-10-10,,376.0,Short,Close
BFFL.BO,2024-09-17,,64.75,Short,Close
BFINVEST.NS,2024-10-09,626.05,,Long,Open
BFLAFL.BO,2021-05-12,,91.75,Short,Close
BFUTILITIE.NS,2024-10-15,,1097.29,Short,Close
BGJL.BO,2024-09-30,19.19,,Long,Open
BGRENERGY.NS,2024-09-23,,51.37,Short,Close
BGWTATO.BO,2024-10-09,494.63,,Long,Open
