Buy Date,Ticker,Buy Strat,Last Alert Date,ll,Buy Price,Target,Call,Status,CMP,CMP_Date,Quantity,Hit Type,Sell Price,Broker
2000-01-01,ALEMBICLTD.NS,,2024-10-28,,119.33,,Long,Open,,2000-01-01,,,,India
2000-01-01,ALFAICA.BO,,2024-10-30,,81.49,,Long,Open,,2000-01-01,,,,India
2000-01-01,ALFATRAN.BO,,2024-10-30,,115.92,,Long,Open,,2000-01-01,,,,India
2000-01-01,ALFAVIO.BO,,2024-09-27,,,18.37,Short,Close,,2000-01-01,,,,India
2024-10-31,ALFL.BO,BB_DC,2024-10-30,1.82,1.94,,Long,Open,2.16,2024-11-01,8333.333333333341,,,India
2000-01-01,ALFREDHE.BO,,2024-09-25,,1606.21,,Long,Open,,2000-01-01,,,,India
2000-01-01,ALICON.NS,,2024-10-29,,1211.55,,Long,Open,,2000-01-01,,,,India
2000-01-01,ALKALI.NS,,2024-10-29,,112.25,,Long,Open,,2000-01-01,,,,India
2000-01-01,ALKEM.NS,,2024-10-09,,,6349.19,Short,Close,,2000-01-01,,,,India
2000-01-01,ALKYLAMINE.NS,,2024-10-14,,,2326.23,Short,Close,,2000-01-01,,,,India
2000-01-01,ALLCARGO.NS,,2024-09-10,,67.37,,Long,Open,,2000-01-01,,,,India
2000-01-01,ALLSEC.NS,,2024-10-18,,,1124.94,Short,Close,,2000-01-01,,,,India
2000-01-01,ALMONDZ.NS,,2024-10-28,,26.63,,Long,Open,,2000-01-01,,,,India
2000-01-01,ALOKINDS.NS,,2024-10-30,,21.61,,Long,Open,,2000-01-01,,,,India
2000-01-01,ALPA.NS,,2024-10-30,,109.9,,Long,Open,,2000-01-01,,,,India
2000-01-01,ALPHAGEO.NS,,2024-10-16,,,435.5,Short,Close,,2000-01-01,,,,India
2024-10-31,ALPINEHOU.BO,EWBB_DC,2024-10-31,99.0,105.4,,Long,Open,111.1,2024-11-01,156.24999999999986,,,India
2000-01-01,ALPSINDUS.NS,,2024-10-30,,3.32,,Long,Open,,2000-01-01,,,,India
