Ticker,Last Alert Date,Buy Price,Target,Call,Status
AVADHSUGAR.NS,2024-11-29,,616.11,Short,Close
AVAILFC.BO,2025-01-14,263.58,,Long,Open
AVANTEL.BO,2024-12-17,,173.9,Short,Close
AVANTIFEED.NS,2025-01-14,596.98,,Long,Open
AVG.NS,2024-11-28,,452.74,Short,Close
AVI.BO,2025-01-08,,13.01,Short,Close
AVIVA.BO,2024-08-26,23.97,,Long,Open
AVL.BO,2024-12-20,,527.0,Short,Close
AVONMORE.BO,2025-01-08,,28.13,Short,Close
AVROIND.NS,2025-01-07,,226.91,Short,Close
AVTNPL.NS,2024-12-03,,82.51,Short,Close
AWHCL.NS,2024-12-16,,687.49,Short,Close
AXELPOLY.BO,2025-01-10,,57.49,Short,Close
AXISBANK.NS,2024-12-06,,1185.39,Short,Close
AXISCADES.NS,2025-01-10,,821.42,Short,Close
AXITA.BO,2024-09-20,17.49,,Long,Open
AXTEL.BO,2024-12-06,,528.83,Short,Close
AYMSYNTEX.NS,2025-01-03,,265.38,Short,Close
B2BSOFT.BO,2024-12-16,,39.91,Short,Close
BABA.BO,2024-12-03,,14.62,Short,Close
BAFNAPH.NS,2025-01-01,79.32,,Long,Open
BAGFILMS.NS,2024-12-19,,11.63,Short,Close
BAJAJ-AUTO.NS,2024-11-06,,10002.7,Short,Close
BAJAJCON.NS,2024-11-06,,233.43,Short,Close
BAJAJELEC.NS,2024-12-11,,842.45,Short,Close
BAJAJFINSV.NS,2024-12-27,1567.32,,Long,Open
BAJAJHCARE.BO,2025-01-03,,642.33,Short,Close
BAJAJHIND.NS,2024-12-10,,34.57,Short,Close
BAJAJHLDNG.NS,2024-12-30,,12731.49,Short,Close
BAJAJST.BO,2025-01-02,,908.68,Short,Close
BAJFINANCE.NS,2024-12-26,6814.54,,Long,Open
BALAJITELE.NS,2025-01-03,,79.3,Short,Close
BALAMINES.NS,2024-12-03,,2100.17,Short,Close
BALAXI.NS,2025-01-14,70.99,,Long,Open
BALGOPAL.BO,2024-12-30,,131.22,Short,Close
BALKRISHNA.NS,2025-01-07,24.37,,Long,Open
BALKRISIND.NS,2024-12-31,,2895.78,Short,Close
BALMLAWRIE.NS,2025-01-03,,224.39,Short,Close
BALPHARMA.NS,2025-01-03,,128.98,Short,Close
BALRAMCHIN.NS,2025-01-14,475.78,,Long,Open
BALTE.BO,2025-01-14,24.49,,Long,Open
BALUFORGE.BO,2024-12-31,,787.0,Short,Close
BAMBINO.BO,2024-12-18,,433.01,Short,Close
BANARBEADS.NS,2025-01-01,122.7,,Long,Open
