Ticker,Date/Time,Close,SL,Mega Buy by Larger Wave ,Mega Sellby Larger Wave,Short_SL
AXELPOLY.BO,8/2/2024,63,41.21,61.95,,67.00
AXELPOLY.BO,8/5/2024,63,41.21,61.34,64.01,67.00
AXELPOLY.BO,8/6/2024,63,41.21,,62.47,67.00
AXELPOLY.BO,8/8/2024,63,41.21,62.77,,68.50
AXELPOLY.BO,8/22/2024,63,45.50,,65.23,67.00
AXELPOLY.BO,8/29/2024,63,45.02,62.22,,67.00
AXELPOLY.BO,9/4/2024,63,45.02,,67.64,68.50
AXELPOLY.BO,10/11/2024,63,59.25,60.74,,65.40
AXELPOLY.BO,10/16/2024,63,61.10,,60.72,65.40
AXELPOLY.BO,10/18/2024,63,60.30,61.87,,65.94
AXELPOLY.BO,10/24/2024,63,59.00,,62.94,67.80
AXELPOLY.BO,10/25/2024,63,59.00,59.99,,67.80
AXELPOLY.BO,10/28/2024,63,59.00,60.65,62.70,67.80
AXELPOLY.BO,10/29/2024,63,59.00,61.00,63.00,67.80
AXELPOLY.BO,10/30/2024,63,59.00,60.11,62.34,67.80
AXELPOLY.BO,10/31/2024,63,60.00,60.32,62.78,67.80
AXELPOLY.BO,11/1/2024,63,60.00,,63.54,67.80
AXELPOLY.BO,11/4/2024,63,54.32,60.69,,67.80
AVTNPL.NS,2/20/2024,82,41.50,,111.88,113.75
AVTNPL.NS,3/21/2024,82,78.75,83.25,,87.00
AVTNPL.NS,4/3/2024,82,71.00,,90.13,91.00
AVTNPL.NS,4/19/2024,82,71.00,84.31,,91.30
AVTNPL.NS,5/6/2024,82,87.15,,97.75,103.35
AVTNPL.NS,5/10/2024,82,87.50,89.20,,103.35
AVTNPL.NS,5/15/2024,82,82.70,,95.24,96.00
AVTNPL.NS,6/6/2024,82,95.35,82.43,,96.00
AVTNPL.NS,7/10/2024,82,73.70,,94.46,96.60
AVTNPL.NS,8/6/2024,82,84.90,88.40,,98.00
AVTNPL.NS,8/7/2024,82,81.35,,94.29,98.00
AVTNPL.NS,8/16/2024,82,76.90,84.35,,98.00
AVTNPL.NS,8/20/2024,82,76.90,,92.22,94.33
AVTNPL.NS,10/29/2024,82,82.91,80.98,,87.40
AVTNPL.NS,10/30/2024,82,82.91,,83.14,87.40
AVTNPL.NS,10/31/2024,82,82.91,82.35,,87.40
AXITA.BO,2/19/2024,14,1.20,,18.91,19.13
AXITA.BO,3/14/2024,14,1.02,16.20,,19.13
AXITA.BO,3/15/2024,14,1.02,16.52,17.05,19.13
AXITA.BO,3/18/2024,14,2.28,16.55,16.88,19.13
AXITA.BO,3/19/2024,14,2.28,16.22,16.51,19.13
AXITA.BO,3/20/2024,14,2.28,16.15,16.29,19.13
AXITA.BO,3/21/2024,14,2.28,16.22,16.40,19.13
