Date/Time,Ticker,Alert,BearBreak,Buy_ATR,Buy_BB,Buy_EW,Buy_LR,Close,FromHigh,FromLow,Mega Sellby Larger Wave,NumberOfTickers,Pattern,PercentileRank,Rank,S1,SCTR,SL,hh,ll,Buy,Current_Price,Quantity,P/L Percentage
2024-11-25,A2ZINFRA.NS,0.0,,,BB,,,17.45,3.0,4.0,,3337.0,_W,63.07,1233.0,0.0,6.2,,20.5,16.5,BB_W,16.790000915527344,1053.0,-0.037822297104450175
2024-11-25,ABCAPITAL.NS,0.0,,,,EW,,192.0,0.0,2.0,,3337.0,_DC,19.93,2672.0,0.0,-10.03,179.18,192.33,179.18,EW_DC,190.5,78.0,-0.0078125
2024-11-25,ABFRL.NS,0.0,,,,EW,,299.0,0.0,2.0,,3337.0,_DC,46.07,1800.0,0.0,-0.15,283.75,301.5,283.75,EW_DC,298.6499938964844,66.0,-0.0011705889749686455
2024-11-25,ACEINTEG.NS,0.0,,,,EW,,31.0,1.0,2.0,,3337.0,_DC,22.45,2588.0,0.0,-8.71,28.01,33.2,28.01,EW_DC,33.36000061035156,334.0,0.0761290519468246
2024-11-25,ACEMEN.BO,0.0,,ATR,,,,75.0,0.0,0.0,,3337.0,_BW,85.34,490.0,0.0,24.0,,84.0,68.02,ATR_BW,74.68000030517578,143.0,-0.00426666259765625
2024-11-25,ACKNIT.BO,0.0,,,,EW,,297.0,0.0,1.0,,3337.0,_BW,32.1,2266.0,0.0,-5.15,275.0,320.0,275.0,EW_BW,294.0,45.0,-0.010101010101010102
2024-11-25,ACROW.BO,0.0,,ATR,BB,,,763.2,12.0,0.0,,3337.0,_W,54.41,1522.0,0.0,2.84,,763.2,700.0,ATRBB_W,763.0,16.0,-0.0002620545073375858
2024-11-25,ADCON.BO,0.0,,,BB,,,1.13,7.0,6.0,,3337.0,_W,79.32,691.0,0.0,16.85,,1.18,0.96,BB_W,1.1100000143051147,5882.0,-0.017699102384854115
2024-11-25,ADIEXRE.BO,0.0,,,BB,,,37.9,0.0,1.0,,3337.0,_DC,93.68,212.0,0.0,42.28,,46.0,34.1,BB_DC,35.75,263.0,-0.05672823218997358
2024-11-25,ADSL.NS,0.0,,,BB,,,261.05,3.0,4.0,,3337.0,_DC,86.9,438.0,0.0,26.38,,295.0,243.05,BB_DC,257.8999938964844,56.0,-0.012066677278359073
2024-11-25,AHLUCONT.NS,0.0,,,BB,,,956.55,3.0,4.0,,3337.0,_DC,12.89,2907.0,0.0,-15.98,,1083.95,915.0,BB_DC,956.9000244140625,24.0,0.0003659238033166541
2024-11-25,AHMDSTE.BO,0.0,,,BB,,,318.0,0.0,1.0,,3337.0,_DC,99.04,33.0,0.0,149.61,,342.3,288.0,BB_DC,295.75,33.0,-0.0699685534591195
2024-11-25,AJANTPHARM.NS,0.0,,,BB,,,3083.95,0.0,0.0,,3337.0,_DC,73.77,876.0,0.0,12.52,,3097.65,2755.55,BB_DC,2996.699951171875,3.0,-0.02829165480248539
2024-11-25,AJCON.BO,0.0,,,BB,,,51.6,0.0,4.0,,3337.0,_DC,81.29,625.0,0.0,18.6,,51.99,42.6,BB_DC,50.5099983215332,111.0,-0.02112406353617826
2024-11-25,AMFORG.BO,0.0,,,,EW,,12.0,5.0,2.0,,3337.0,_UC,70.5,985.0,0.0,10.07,11.0,15.5,11.0,EW_UC,11.720000267028809,1000.0,-0.023333311080932617
2024-11-25,ANGELONE.NS,0.0,,,BB,,,2856.95,0.0,6.0,,3337.0,_DC,53.27,1560.0,0.0,2.55,,2861.85,2605.0,BB_DC,2799.050048828125,4.0,-0.020266350888841184
2024-11-25,ANSALHSG.BO,0.0,,,BB,EW,,15.0,0.0,1.0,,3337.0,_DC,26.14,2465.0,0.0,-7.14,13.62,19.33,13.62,EWBB_DC,15.489999771118164,725.0,0.032666651407877605
2024-11-25,ANUHPHR.BO,0.0,,,BB,,,200.3,8.0,6.0,,3337.0,_W,36.45,2121.0,0.0,-3.53,,204.9,188.0,BB_W,199.0,81.0,-0.006490264603095413
2024-11-25,APARINDS.NS,0.0,,,BB,,,9470.4,3.0,7.0,,3337.0,_DC,72.3,925.0,0.0,11.22,,9689.0,8574.35,BB_DC,9561.900390625,1.0,0.00966172396361298
2024-11-25,AROGRANITE.NS,0.0,,,,EW,,49.0,0.0,2.0,,3337.0,_DC,26.62,2449.0,0.0,-6.93,45.11,49.5,45.11,EW_DC,47.61000061035156,257.0,-0.028367334482621173
