Date/Time,Ticker,BearBreak,Buy_ATR,Buy_BB,Buy_EW,Buy_LR,Buy_ZZ,Close,DnBars,Downtrend Length,FromHigh,FromLow,LR_LC,LR_MC,LR_UC,Mega Sellby Larger Wave,NumberOfTickers,Pattern,PercentileRank,Rank,SL,UpBars,Uptrend Length,hh,ll,myShort,Buy,Current_Price,Quantity,P/L Percentage
2024-11-25,DHINDIA.BO,,,,EW,,ZZ,139.0,0.0,10.0,0.0,2.0,132.21,136.31,140.41,,3525.0,_UC,100.0,1.0,120.1,5.0,5.0,196.0,120.1,,EW_UC,144.39999389648438,53.0,0.038848876953125
2024-11-25,DHPIND.BO,,,BB,,,ZZ,562.15,0.0,15.0,0.0,1.0,530.46,548.28,566.1,,3525.0,_DC,100.0,1.0,,4.0,4.0,619.0,450.0,,BB_DC,569.0999755859375,9.0,0.012363204813550695
2024-11-25,DILIGENT.BO,,,,EW,,ZZ,4.0,0.0,9.0,2.0,2.0,4.34,4.44,4.55,,3525.0,_DC,100.0,1.0,3.75,5.0,5.0,6.3,3.75,,EW_DC,4.480000019073486,4000.0,0.12000000476837158
2024-11-25,DIVISLAB.NS,,,BB,,,ZZ,6138.45,0.0,28.0,6.0,3.0,5778.84,5953.13,6127.42,,3525.0,_W,100.0,1.0,,20.0,20.0,6185.0,4395.3,,BB_W,5911.85009765625,1.0,-0.03691484044730344
2024-11-25,DJML.BO,,,BB,,,ZZ,129.3,0.0,9.0,2.0,2.0,122.45,126.32,130.19,,3525.0,_DC,100.0,1.0,,6.0,6.0,139.0,109.55,,BB_DC,135.60000610351562,51.0,0.048723945116130034
2024-11-25,DLF.NS,,,BB,,,ZZ,823.3,0.0,16.0,0.0,2.0,783.06,810.66,838.27,,3525.0,_DC,100.0,1.0,,6.0,6.0,929.0,743.95,,BB_DC,811.9000244140625,13.0,-0.01384668478797213
2024-11-25,DTIL.NS,,,BB,,,,259.7,,,8.0,2.0,,,,,3525.0,_DC,100.0,1.0,,,,312.0,246.6,,BB_DC,267.8999938964844,76.0,0.03157487060640888
2024-11-25,DUCON.NS,,,BB,,,,8.22,,,3.0,4.0,,,,,3525.0,_W,100.0,1.0,,,,11.28,7.16,,BB_W,8.539999961853027,943.0,0.03892943574854339
2024-11-25,DYNAMICP.BO,,,,EW,,ZZ,34.0,0.0,35.0,0.0,1.0,32.64,33.16,33.68,,3525.0,_DC,100.0,1.0,28.7,3.0,3.0,52.48,28.7,,EW_DC,34.93000030517578,189.0,0.02735295015222886
2024-11-25,EIDPARRY.NS,,,BB,,,ZZ,864.9,0.0,10.0,0.0,0.0,844.06,863.25,882.44,,3525.0,_DC,100.0,1.0,,4.0,4.0,875.15,741.3,,BB_DC,872.5499877929688,8.0,0.008844939059970832
2024-11-25,EIMCOELECO.NS,,,,,LR,ZZ,2533.05,0.0,26.0,0.0,1.0,2505.75,2576.0,2646.25,,3525.0,_DC,100.0,1.0,,3.0,3.0,3395.05,2289.25,,LR_DC,2540.0,4.0,0.0027437279169380065
2024-11-25,ELGIEQUIP.NS,,ATR,,EW,,ZZ,641.0,0.0,14.0,0.0,1.0,565.3,616.27,667.24,,3525.0,_DC,100.0,1.0,546.8,3.0,3.0,752.95,546.8,,ATREW_DC,638.8499755859375,11.0,-0.003354172252827613
2024-11-25,ELNET.BO,,,BB,,,,387.75,,,0.0,0.0,,,,,3525.0,_W,100.0,1.0,,,,399.9,310.1,,BB_W,410.0,13.0,0.05738233397807866
2024-11-25,EMAMILTD.NS,,,,EW,LR,ZZ,678.0,0.0,14.0,0.0,1.0,629.02,666.21,703.4,,3525.0,_DC,100.0,1.0,611.3,4.0,4.0,743.0,611.3,,EWLR_DC,667.1500244140625,15.0,-0.016002913843565635
2024-11-25,EMKAY.NS,,,,EW,,,297.0,,,2.0,1.0,,,,,3525.0,_UC,100.0,1.0,282.7,,,319.9,142.25,,EW_UC,341.8999938964844,6.0,0.15117843062789352
2024-11-25,EPL.NS,,,BB,,,,268.65,,,3.0,1.0,,,,,3525.0,_DC,100.0,1.0,,,,280.1,249.35,,BB_DC,260.45001220703125,52.0,-0.030522939858435617
