Ticker,Last Alert Date,Buy Price,Target,Call,Status
BANSWRAS.NS,2024-10-30,135.02,,Long,Open
BAPACK.BO,2024-10-14,,461.3,Short,Close
BARBEQUE.BO,2024-10-14,,696.42,Short,Close
BAROEXT.BO,2024-10-04,,14.28,Short,Close
BASANTGL.BO,2024-09-24,,22.1,Short,Close
BASF.NS,2024-10-15,8214.92,,Long,Open
BASML.NS,2024-10-30,51.49,,Long,Open
BATAINDIA.NS,2024-10-18,,1455.6,Short,Close
BATLIBOI.BO,2024-10-29,144.41,,Long,Open
BAYERCROP.BO,2024-10-16,,6743.68,Short,Close
BBL.NS,2024-10-16,,5034.0,Short,Close
BBOX.NS,2024-10-29,450.25,,Long,Open
BBTC.NS,2024-10-24,,2859.25,Short,Close
BBTCL.NS,2024-10-14,,242.59,Short,Close
BCCFUBA.BO,2024-10-30,86.88,,Long,Open
BCG.NS,2024-10-04,,9.95,Short,Close
BCLENTERPR.BO,2024-09-10,0.97,,Short,Close
BCLIND.NS,2024-10-29,56.44,,Long,Open
BCONCEPTS.NS,2024-09-05,,724.31,Short,Close
BCP.BO,2024-10-28,4.13,,Long,Open
BDH.BO,2024-10-30,319.5,,Long,Open
BDL.NS,2024-10-11,,1222.5,Short,Close
BEARDSELL.NS,2024-10-09,,49.52,Short,Close
BECTORFOOD.NS,2024-10-25,1678.13,,Long,Open
BEDMUTHA.NS,2024-10-18,,239.1,Short,Close
BEEKAY.BO,2024-09-23,,750.36,Short,Close
BEL.NS,2024-10-28,270.04,,Long,Open
BELLACASA.BO,2024-10-23,515.11,,Long,Open
BEMHY.BO,2024-10-15,,1413.03,Short,Close
BEML.NS,2024-10-30,3872.35,,Long,Open
BENARAS.BO,2024-10-21,,8883.78,Short,Close
BENGALASM.BO,2024-10-09,9128.79,,Long,Open
BENGALT.BO,2024-10-29,171.63,,Long,Open
BEPL.NS,2024-10-28,128.43,,Long,Open
BERGEPAINT.NS,2024-09-16,,624.64,Short,Close
BERLDRG.BO,2024-10-28,35.81,,Long,Open
BERVINL.BO,2024-10-17,,65.01,Short,Close
BERYLSE.BO,2024-10-25,28.63,,Long,Open
BESTAGRO.BO,2024-10-23,562.45,,Long,Open
BESTEAST.BO,2024-10-29,17.03,,Long,Open
BETXIND.BO,2024-10-29,309.83,,Long,Open
BFFL.BO,2024-09-17,,64.75,Short,Close
BFINVEST.NS,2024-10-22,,761.35,Short,Close
BFUTILITIE.NS,2024-10-15,,1097.29,Short,Close
BGJL.BO,2024-09-30,19.19,,Long,Open
BGRENERGY.NS,2024-09-23,,51.37,Short,Close
BGWTATO.BO,2024-09-23,,569.75,Short,Close
BHAGCHEM.BO,2024-10-28,327.75,,Long,Open
BHAGERIA.NS,2024-10-29,193.81,,Long,Open
BHAGWOX.BO,2024-09-24,,62.12,Short,Close
BHAGYANGR.NS,2024-09-17,,109.26,Short,Close
BHANDARI.NS,2024-10-07,,6.47,Short,Close
BHARAT.BO,2024-10-24,48.0,,Long,Open
BHARATAGRI.BO,2024-07-31,,102.82,Short,Close
BHARATFORG.NS,2024-08-09,,1645.69,Short,Close
BHARATGEAR.NS,2024-10-15,,109.26,Short,Close
BHARATRAS.NS,2024-10-28,10375.04,,Long,Open
BHARATSE.BO,2024-10-28,158.9,,Long,Open
BHARATWIRE.NS,2024-10-09,,272.73,Short,Close
BHARTIARTL.NS,2024-10-16,,1735.96,Short,Close
BHASKAGR.BO,2024-10-30,58.77,,Long,Open
BHATIA.BO,2024-10-29,25.82,,Long,Open
BHEL.NS,2024-10-28,219.56,,Long,Open
BHILSPIN.BO,2024-09-13,,166.02,Short,Close
BI.BO,2024-10-15,,63.72,Short,Close
BIBCL.BO,2024-09-27,27.96,,Long,Open
BIGBLOC.NS,2024-10-29,124.29,,Long,Open
BIHSPONG.BO,2024-10-29,16.7,,Long,Open
BIL.NS,2024-10-28,641.19,,Long,Open
BIMETAL.BO,2024-10-23,721.25,,Long,Open
BIOCON.NS,2024-09-16,,391.21,Short,Close
BIOFILCHEM.NS,2024-10-28,64.35,,Long,Open
BIRLACABLE.NS,2024-08-21,,282.24,Short,Close
BIRLACORPN.NS,2024-09-05,,1362.22,Short,Close
BIRLAMONEY.NS,2024-10-21,,180.98,Short,Close
BIRLAPREC.BO,2024-10-28,63.17,,Long,Open
BITL.BO,2024-09-09,,1.72,Short,Close
BKMINDST.NS,2024-10-04,,1.72,Short,Close
BKV.BO,2024-10-28,12.51,,Long,Open
BLACKROSE.BO,2024-10-14,,144.29,Short,Close
BLBLIMITED.NS,2024-10-25,19.09,,Long,Open
BLIL.BO,2024-10-30,74.06,,Long,Open
BLISSGVS.NS,2024-10-29,117.14,,Long,Open
BLKASHYAP.NS,2024-10-30,78.91,,Long,Open
BLOOM.BO,2024-10-18,,15.98,Short,Close
BLS.NS,2024-10-24,,390.44,Short,Close
BLUECHIP.NS,2024-09-30,5.81,,Long,Open
BLUECHIPT.BO,2024-10-10,,166.26,Short,Close
BLUECOAST.BO,2024-09-23,,11.86,Short,Close
BLUEDART.NS,2024-10-09,,8785.14,Short,Close
BLUESTARCO.NS,2024-10-15,,2077.21,Short,Close
BMAL.BO,2024-10-09,10.18,,Long,Open
BNALTD.BO,2024-10-18,,606.85,Short,Close
BNL.BO,2024-09-11,82.38,,Long,Open
BNRSEC.BO,2024-10-28,171.19,,Long,Open
BNRUDY.BO,2024-10-14,,90.51,Short,Close
BODALCHEM.NS,2024-10-16,,86.46,Short,Close
BOMBCYC.BO,2024-10-25,1712.65,,Long,Open
BOMDYEING.NS,2024-10-29,219.66,,Long,Open
BOMOXY-B1.BO,2024-08-30,,38190.89,Short,Close
BOROLTD.NS,2024-10-28,419.6,,Long,Open
BORORENEW.NS,2024-08-28,,532.29,Short,Close
BOSCHLTD.NS,2024-10-14,,38753.55,Short,Close
BPCAP.BO,2024-09-13,,5.9,Short,Close
BPCL.NS,2024-09-30,,372.04,Short,Close
BPL.NS,2024-10-28,103.49,,Long,Open
BRADYM.BO,2024-10-15,,2493.38,Short,Close
BRAHMINFRA.BO,2024-08-14,,100.04,Short,Close
BRAWN.BO,2024-10-28,19.93,,Long,Open
BRIDGESE.BO,2024-08-30,3.66,,Long,Open
BRIGADE.NS,2024-10-01,,1428.75,Short,Close
BRIGHTBR.BO,2024-10-29,280.1,,Long,Open
BRIJLEAS.BO,2024-10-29,10.16,,Long,Open
BRITANNIA.NS,2024-10-03,,6424.93,Short,Close
BRNL.NS,2024-10-25,43.45,,Long,Open
BROOKS.NS,2024-10-01,,152.55,Short,Close
BRPL.BO,2024-10-29,95.26,,Long,Open
BSE.NS,2024-10-25,4076.46,,Long,Open
BSHSL.NS,2024-10-10,,181.8,Short,Close
BSL.NS,2024-10-28,212.53,,Long,Open
BSLSENETFG.BO,2024-09-27,,85.38,Short,Close
BSOFT.NS,2024-10-23,,594.49,Short,Close
BTML.NS,2024-10-15,,14.64,Short,Close
BTTL.BO,2024-10-23,46.12,,Long,Open
BURNPUR.NS,2024-08-16,,8.26,Short,Close
BUTTERFLY.NS,2024-10-23,834.39,,Long,Open
BVCL.NS,2024-10-16,,61.88,Short,Close
BYKE.NS,2024-10-30,62.51,,Long,Open
CALCOM.BO,2024-10-21,,130.36,Short,Close
CALSOFT.NS,2024-10-01,,22.85,Short,Close
CAMEXLTD.BO,2024-10-29,55.82,,Long,Open
CAMLINFINE.NS,2024-10-29,97.63,,Long,Open
CAMS.BO,2024-10-17,,4928.74,Short,Close
CANBK.NS,2024-10-28,96.44,,Long,Open
CANFINHOME.NS,2024-10-23,854.67,,Long,Open
CANTABIL.NS,2024-10-28,220.83,,Long,Open
CAPACITE.NS,2024-10-25,333.1,,Long,Open
CAPLIPOINT.NS,2024-10-30,1894.71,,Long,Open
CAPPIPES.BO,2024-07-29,,19.28,Short,Close
CAPRICORN.BO,2024-10-15,13.59,,Long,Open
CAPRIHANS.BO,2024-10-28,149.79,,Long,Open
CAPRO.BO,2024-10-28,51.79,,Long,Open
CAPTRUST.NS,2024-10-14,,137.19,Short,Close
CARBORUNIV.NS,2024-07-29,,1760.75,Short,Close
CAREERP.NS,2024-10-15,,522.48,Short,Close
CARERATING.NS,2024-10-23,1152.03,,Long,Open
