Ticker,Date/Time,Close,UpBars,DnBars,Downtrend Length,Uptrend Length,LR_UC,LR_MC,LR_LC,Buy
GOWRALE.BO,12/5/2024,63.50,4.00,0.00,16.00,4.00,71.54,71.15,70.76,1
GOYALASS.BO,12/5/2024,1.61,10.00,0.00,22.00,10.00,1.67,1.64,1.61,1
GPTINFRA.NS,12/5/2024,147.73,13.00,0.00,22.00,13.00,165.75,159.15,152.56,1
GPPL.NS,12/5/2024,191.34,10.00,0.00,78.00,10.00,203.79,199.40,195.00,1
GPIL.NS,12/5/2024,205.92,9.00,0.00,18.00,9.00,209.08,203.38,197.69,1
GRATEXI.BO,12/5/2024,22.85,25.00,0.00,35.00,25.00,26.52,25.44,24.36,1
GRAVISSHO.BO,12/5/2024,51.78,14.00,0.00,16.00,14.00,52.28,50.35,48.43,1
GRAVITA.NS,12/5/2024,2191.85,10.00,0.00,18.00,10.00,0.00,0.00,0.00,1
GRAPHITE.NS,12/5/2024,569.30,10.00,0.00,18.00,10.00,624.44,589.15,553.85,1
GRASIM.NS,12/5/2024,2706.80,14.00,0.00,45.00,14.00,2775.11,2718.63,2662.15,1
GREENCREST.BO,12/5/2024,0.96,25.00,0.00,54.00,25.00,0.98,0.94,0.90,1
GREAVESCOT.NS,12/5/2024,198.59,13.00,0.00,18.00,13.00,200.77,195.79,190.81,1
GREENPANEL.NS,12/5/2024,352.05,10.00,0.00,22.00,10.00,366.80,363.48,360.16,1
GREENLAM.NS,12/5/2024,585.20,9.00,0.00,18.00,9.00,620.10,602.90,585.71,1
GRMOVER.BO,12/5/2024,217.25,12.00,0.00,22.00,12.00,220.84,215.32,209.81,1
GREENPOWER.NS,12/5/2024,18.19,9.00,0.00,22.00,9.00,18.66,18.30,17.93,1
GRSE.NS,12/5/2024,1760.25,9.00,0.00,22.00,9.00,1953.41,1839.29,1725.18,1
GREENPLY.NS,12/5/2024,342.00,12.00,0.00,19.00,12.00,356.59,351.00,345.41,1
GRWRHITECH.BO,12/5/2024,5062.50,14.00,0.00,19.00,14.00,5678.09,5328.05,4978.02,1
GRINDWELL.NS,12/5/2024,2164.55,10.00,0.00,22.00,10.00,2251.27,2189.09,2126.90,1
GSAUTO.BO,12/5/2024,40.65,10.00,0.00,18.00,10.00,40.58,39.81,39.04,1
GSBFIN.BO,12/5/2024,29.71,12.00,0.00,16.00,12.00,29.89,29.04,28.18,1
GSTL.BO,12/5/2024,18.74,10.00,0.00,62.00,10.00,22.82,22.34,21.86,1
GSLSEC.BO,12/5/2024,23.28,14.00,0.00,17.00,14.00,26.88,25.48,24.07,1
GTPL.NS,12/5/2024,145.33,9.00,0.00,55.00,9.00,153.32,152.14,150.95,1
