Trade Day,System,Trade Direction,Stock,Entry Price,ISL/TSL,Buy Qty,Sell Qty,Sell Price,Exit Strategy,Commission,Trade Category,Account,CMP,CMP_Date,Target,Last Alert Date
2025-01-15,EW_DC,Long,ANGELONE.NS,2497.0,2274.0,4.48,4.48,,,,,KRBPT,2497.35,2025-01-15,,2025-01-15
2025-01-15,EW_DC,Long,ANMOL.BO,23.0,22.0,1000.0,1000.0,,,,,KRBPT,23.17,2025-01-15,,2025-01-15
2025-01-15,EW_DC,Long,APLAPOLLO.NS,1513.0,1415.4,10.25,10.25,,,,,KRBPT,1513.3,2025-01-15,,2025-01-15
2025-01-15,BB_DC,Short,ARENTERP.NS,48.09,45.49,384.62,384.62,57.4,Target Hit,,,KRBPT,48.09,2025-01-15,57.4,2025-01-03
2025-01-15,BB_DC,Long,ARTSONEN.BO,191.05,162.5,35.03,35.03,,,,,KRBPT,191.05,2025-01-15,,2025-01-13
2025-01-15,BB_DC,Long,ASAL.NS,638.5,585.1,18.73,18.73,,,,,KRBPT,638.5,2025-01-15,609.7,2025-01-13
2025-01-15,EW_DC,Long,ASHNOOR.BO,66.0,61.2,208.33,208.33,,,,,KRBPT,65.99,2025-01-15,,2025-01-15
2025-01-15,EW_DC,Long,ASMTEC.BO,1291.0,1186.0,9.52,9.52,,,,,KRBPT,1290.85,2025-01-15,,2025-01-15
2025-01-15,EW_UC,Long,AVI.BO,13.0,4.8,121.95,121.95,,,,,KRBPT,13.42,2025-01-15,,2025-01-15
2025-01-15,EW_DC,Long,AXITA.BO,11.0,10.12,1136.36,1136.36,,,,,KRBPT,10.88,2025-01-15,,2025-01-15
2025-01-15,EWBB_DC,Long,BAJAJHLDNG.NS,10849.0,10245.1,1.66,1.66,,,,,KRBPT,10849.15,2025-01-15,,2025-01-15
2025-01-15,EW_BW,Long,BENARAS.BO,9166.0,8000.0,0.86,0.86,,,,,KRBPT,,,,2025-01-15
2025-01-15,BB_DC,Long,BERYLSE.BO,36.1,32.56,282.49,282.49,,,,,KRBPT,,,,2025-01-13
2025-01-15,BB_W,Long,BFFL.BO,52.85,39.77,76.45,76.45,,,,,KRBPT,,,,2025-01-08
